NWE_02x02
----------------------------------------------------------------------------------------------------------------
Global distribution of season types
1 - Summer
2 - Early fall
3 - Late fall
4 - Winter
5 - Spring
       i       j     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec  
      61       1       4       4       5       5       1       1       1       1       1       2       3       4
      62       1       4       4       5       5       1       1       1       1       1       2       3       4
      63       1       4       4       5       5       1       1       1       1       1       2       3       4
      64       1       4       4       5       5       1       1       1       1       1       2       3       4
      65       1       4       4       5       5       1       1       1       1       1       2       3       4
      66       1       4       4       5       5       1       1       1       1       1       2       3       4
      67       1       4       4       5       5       1       1       1       1       1       2       3       4
      68       1       4       4       5       5       1       1       1       1       1       2       3       4
      69       1       4       4       5       5       1       1       1       1       1       2       3       4
      70       1       4       4       5       5       5       1       1       1       1       2       3       4
      71       1       4       4       5       5       5       1       1       1       1       2       3       4
      72       1       4       4       4       5       5       1       1       1       1       2       3       4
      73       1       4       4       4       5       5       1       1       1       1       2       3       4
      74       1       4       4       4       5       5       1       1       1       1       2       3       4
      75       1       4       4       4       5       5       1       1       1       1       2       3       4
      76       1       4       4       4       5       5       1       1       1       1       2       3       4
      77       1       4       4       4       5       5       1       1       1       1       2       3       4
      78       1       4       4       4       5       5       1       1       1       1       2       3       4
      79       1       4       4       4       5       5       1       1       1       1       2       3       4
      80       1       4       4       4       5       5       1       1       1       1       2       3       4
      81       1       4       4       4       5       5       1       1       1       1       2       3       4
      82       1       4       4       4       5       5       1       1       1       1       2       3       4
      83       1       4       4       4       5       5       1       1       1       1       2       3       4
      84       1       4       4       4       5       5       1       1       1       1       2       3       4
      85       1       4       4       4       5       5       1       1       1       1       2       3       4
      86       1       4       4       4       5       5       1       1       1       1       2       3       4
      87       1       4       4       4       5       5       1       1       1       1       3       3       4
      88       1       4       4       4       5       5       1       1       1       1       3       3       4
      89       1       4       4       4       5       5       1       1       1       2       3       3       4
      90       1       4       4       4       5       5       1       1       1       2       3       4       4
      91       1       4       4       4       5       5       1       1       1       2       3       4       4
      92       1       4       4       4       5       5       1       1       1       2       3       4       4
      93       1       4       4       4       5       5       1       1       1       2       3       4       4
      94       1       4       4       4       5       5       1       1       1       2       3       4       4
      95       1       4       4       4       5       5       1       1       1       2       3       4       4
      96       1       4       4       4       5       5       1       1       1       2       3       4       4
      97       1       4       4       4       5       5       1       1       1       2       3       4       4
      98       1       4       4       4       5       5       1       1       1       2       3       4       4
      99       1       4       4       4       5       5       1       1       1       2       3       4       4
     100       1       4       4       4       5       5       1       1       1       2       3       4       4
     101       1       4       4       4       5       5       1       1       1       2       3       4       4
     102       1       4       4       4       5       5       1       1       1       2       3       4       4
     103       1       4       4       4       5       5       1       1       1       2       3       4       4
     104       1       4       4       4       5       5       1       1       1       2       3       4       4
     105       1       4       4       4       5       5       1       1       1       2       3       4       4
     106       1       4       4       4       5       5       1       1       1       2       3       4       4
     107       1       4       4       4       5       5       1       1       1       2       3       4       4
     108       1       4       4       4       5       5       1       1       1       2       3       4       4
     109       1       4       4       4       5       5       1       1       1       2       3       4       4
     110       1       4       4       4       5       5       1       1       1       2       3       4       4
     111       1       4       4       4       5       5       1       1       1       2       3       4       4
     112       1       4       4       4       5       5       1       1       1       2       3       4       4
     113       1       4       4       4       5       5       1       1       1       2       3       4       4
     114       1       4       4       4       5       5       5       1       1       2       3       4       4
     115       1       4       4       4       5       5       5       1       1       2       3       4       4
     116       1       4       4       4       5       5       5       1       1       2       3       4       4
     117       1       4       4       4       5       5       5       1       1       2       3       4       4
     118       1       4       4       4       5       5       5       1       1       2       3       4       4
     119       1       4       4       4       5       5       5       1       1       2       3       4       4
     120       1       4       4       4       5       5       5       1       1       2       3       4       4
     121       1       4       4       4       5       5       5       1       1       2       3       4       4
     122       1       4       4       4       5       5       5       1       1       2       3       4       4
     123       1       4       4       4       4       5       5       1       1       2       3       4       4
     124       1       4       4       4       4       5       5       1       1       2       3       4       4
